text,username,city_request,city_provenance
My husband and I will be staying a night in Oxford before staying in the Cotswold area for 2 nights. We are then heading towards Liverpool. We will have a car and will be travelling in February. Any suggestions on where to stay in Cotswold. We like a B & B or small inn within walking distance to restaurants. We are in our 60’s so happy with a quiet location. Thank you in advance for any suggestions. ,JanandDan,Cotswolds,"Duncan, Canada"
Looking at a week in the Lakes early June - last year we stayed at Troutbeck (the one near Windermere as aware there’s two). Cottage was fab so we’re tempted to return but aware that means either redoing some of the walks close by or having to travel further each day.    Looking at Southern Lakes - to keep journey time down - so after any suggestions please - been looking at Hawkshead/Grizedale area.    We’re 4 adults moderate walkers who enjoy getting up on the tops but also low level walking. Ideally would like to think we can spend 2/3 days walking from the door and otherwise no more than 20/30 mins drive each day. .    Many thanks. ,AztecLife,Lake District,United Kingdom
Hello! My family and I are traveling into London from the US in June 2024. We are scheduled to visit this part of the planet for three weeks. We’d love some suggestions on where to go!    So far we’ve considered a London - England - Scotland - Ireland trip as well as a London - Amsterdam - Bruges - Scotland trip.    We like to adventure around cities people watch eat yummy food and drink wine check out the touristy stops (a mixture of landmarks quick museum trips and pretty sites). We are both in our 30s and will be traveling with our 6 year old daughter.    Any suggestions in terms of where to go and what to do are welcome! Thank you! ,Mackenzie H,London,
Hi all - I've noticed if we get in early from Brussels to London there is eurostar special price with first class being about 30 euros more. What do you get in first class that makes it better than 2nd? ,Roger D,England,"Melbourne, Australia"
Booked for 8 - 12th Feb (which is a Thur - Mon)    Provisionally booked the Premier Inn Southwark station in a family room as we are a family of 4 with 2 adults and 2 girls aged 11 and 9.    We want this to be a fun trip for them and hopefully with some great restaurants (and bars for us) and some interesting and fun activities weather permitting.    I've started to make a shortlist(ish) to try and narrow down the scope so I am hoping to put this in a logical order by day what makes sense to do when or at the weekend etc.    These are not must-dos but just some ideas from reading the forum I don't want to overload the trip with history/museums but a sprinkle would be fine :)    Potential Todos:  - Wicked (show)  - Graffiti tunnel - near hotel  - Natural History and Science Museum  - Thames Rockets tour high speed RIB or City Cruise  - the glass pavement on Tower Bridge  - Tower of london  - watching the street entertainers in Covent Garden  - Hamleys/Lego Store/M&M store/ shopping (Oxford street?)  - London Dungeon (heard its good fun)  - London Eye  - Buckingham palace (outside only)  - Borough Market    Outside London:  Hampton Court Palace? Not sure enough time or interest for this.    Food:  Flat Iron  Fishcotheque  Heddon Street Kitchen (Ramseys kids eat free)  Inamo Covent Garden  Wahaca Southbank  OXO Tower Brasserie  Hardrock (fun experience?)  The Ampersand Hotel in Kensington boasts a Jurassic afternoon tea    My two girls are also into football and we have seen Liverpool and Barcelona in their respective stadiums so a championship game *might* be worth a look depending on schedule/location.    I also notice that there is a childrens festival at that time in South Bank which will hopefully have some ideas but at first glance it appears mostly suited for younger kids. ,sterankin,London,Belfast
Hi there!    We are planning a 14-16 day trip to the UK from Canada in late April. We've been to Scotland solo but this time we'll be traveling with our two children (2 and 4). We will be flying from Toronto and likely landing in London or similar cost conscious city. We are hoping to spend 7 days in England and 7 days in Scotland but that's not a hard and fast rule. I would love some suggestions for interesting destinations that are easier with kids. Also open to making our way to Wales as well! (Although I realize we don't have much time to play around with).    Any itinerary suggestions would be warmly welcome!    Here is our wish list:    - unique historical sites  - minimal tourist attractions  - focus on beautiful scenery  - charming historical towns and villages  - pastoral views countryside  - some larger cities but not super touristy  - charming English cottages distilleries historical landmarks market towns etc.  - beautiful beaches  - places like the Cotswolds Yorkshire etc  - Traditional crafts tours (milling local trades etc)  - Kid's attractions (just 1 or 2) ,Dee Fitz,,"Elora, Canada"
Going to see Wicked at the Playhouse Any recommendations for nearby restaurants ,Elizabeth N,Edinburgh,
If we get on the Piccadilly Line at Heathrow terminal 2 at 11 AM on Thursday Dec 28 what are the chances of us getting a seat and holding our luggage in our laps and in front of us. We are exiting at Kings Cross ,NOLA1447,London,New Orleans...
We have allocated 5 nights in Oban …. 4 full days …. One of which we will do a trip out to the isle of Mull….. do you think we will find enough to fill in 3 days …. We won’t have a car but would hire bikes … we love to walk…. This holiday is all about slow travel.  Thanks in anticipation ….. kind Regards ,RIMU,Oban,"Nelson, New Zealand"
Thanks for previous advice. Am spending 7 days in Kettlewell in 1st week of June walking with family (I'm based in Australia). Will meet my family in Kettlewell but visiting friends in Lincoln before and can get train to Ilkley or Skipton. Would the walk from Skipton/Embsay via cracoe (Over moors paths not road) to Grassington or from Ilkley/Bolton Abbey to Grassington along river be nicer? I will overnight in Grassington then walk to Kettlewell to meet family (Driving from London) so either way need to end at Grassington. I'm thinking via the moors for the views as I don't mind up and down but thought I would check in with the locals to see if anyone had done or had advice. Am fine walking long distances with a pack as lots of experience. ,ldj226,Yorkshire Dales National Park,"Brisbane, Australia"
I’m staying 4 nights in Newquay and knew I should have booked Christmas lunch but no joy now. Anyone got any suggestions ? The pubs are mainly open a few hours for drinks ,Marie A,Newquay,
We are planning a trip to London next year and my oldest son is very interested in studying law and currently participates in a Teen Court program. Would. tickets for Witness to the prosecution be something he would enjoy? Trying to find some things that would really intrigue my boys and I think this could be a great one fie my oldest. ,Michelle M,London,"Georgetown, Texas"
Hello! What is the best way to travel from Edinburg to St. Andrew’s? Then back to London? What is the recommended number of days for first timers in St. Andrew’s? Any good recommendations for accommodations in St. Andrew’s? Apologies for all the questions…. Thank you so much in advanced! 🙏🏻🙏🏻🙏🏻 ,grace K,St. Andrews,
This information relates to the London area over the Christmas period but some of it will be relevant to the rest of the country.  On Christmas Eve train services will start to run down from around 5pm and many services stop from 9pm. There will be no night buses and 24 hour bus services will stop from around midnight  The Transport for London (TfL) has a link to the Christmas and New Year travel plans including New Years Eve fireworks and Winter Wonderland see https://tfl.gov.uk/status-updates/major-works-and-events/christmas-and-new-year-travel?intcmp=65487  As mentioned on other posts there will be no public transport on Christmas Day the options will be bicycles for hire such as Santander Cycles in London taxis re-booked car services uber etc see https://tfl.gov.uk/  Suggested pre-booked car services on here are  https://www.addisonlee.com  http://www.blackberrycars.com  http://www.justairports.com  http://www.parkercarservice.co.uk  Drivers will meet you in the terminal arrivals area and take you to their vehicle.  Or uber but you then need to make your way to the meeting point for your terminal.  The Congestion Charge won’t be chargeable from Christmas Day until 1st January (inclusive). There will be no ULEZ payable on Christmas Day only the LEZ operates every day details on the TfL website links.  There will also be services on the National Express and other coach services to/from airports etc. National Express may have other services operating as well see https://www.nationalexpress.com/en  In many cases there will be no train services on Boxing day either however there will be a limited train service not the Gatwick Express from Victoria to Gatwick Airport and the Stansted Express from Tottenham Hale to Stansted Airport.  There will be no Thameslink or East Midlands Railway trains to Luton Airport Parkway for Luton Airport.  For more details on individual train company plans over the Christmas and New Year period see https://www.nationalrail.co.uk/travel-information/bank-holiday-information-great-western-railway/  On Boxing day the buses underground (aka the tube) and other TfL services will start up later there may be planned closures on some lines such as the Elizabeth Line for information see the TfL Status Updates page at Tube Overground Elizabeth line DLR & Tram status updates - Transport for London (http://tfl.gov.uk)  Paddington Station will be closed from the 24th to the 27th for more details see the National Rail website at Bank Holiday Information - Great Western Railway | National Rail This will affect the Elizabeth line and Heathrow Express from Paddington as well the TfL page has details about what services these lines will be operating.  There are planned closures in the Southampton area from the 24th to the 29th.  South Eastern trains will not be running into Victoria station from the 23rd until 1st January trains will be diverted to London Bridge and Blackfriars. The Southern trains into and out of Victoria are not affected by this closure.    Others are welcome to add any further information to this post. ,ElmersEnd,London,"Beckenham, United..."
I had my birthday dinner at Nopi in 2014 and if I recall correctly there were two choices for seating: one at a long shared table with a view of the open kitchen and another with separate tables although pushed close together. We chose the latter and it was nice. Is it still arranged like that?    We will be back in April for my husband’s birthday. WhenI go online to reserve (which I will actually do later not now) I see the choices are “ground floor” and “downstairs”. Do these correspond to the shared table and separate table areas or has that changed? Which would be quieter? My husband cannot hear in noisy restaurants and finds the experience unpleasant so I want to try to avoid that.    If the noise of a “buzzy” atmosphere is unavoidable we will have to skip Nopi. In that case what alternative would you suggest that is quiet? Italian/Mediterranean food is our favorite; French or seafood are also possibilities as is a more casual wine bar with nice small plates. We will be going for Indian food on a different night and have that sorted.    We will be staying at Apex Temple Court hotel ( Fleet Street x Fetter Lane) and later in the West End near Trafalgar Square. We are happy walking up to a km or so and can use the #15 bus to move east-west on the axis between Trafalgar Square and Tower Hill. But we do not wish to take the Tube to a restaurant (or most anywhere for that matter).    Thank you for your suggestions. ,Enzian,London,Seattle
The festive timetables are now available https://www.lothianbuses.com/news/2023/11/festive-timetables-2023/ ,edinem,Edinburgh,"Edinburgh, United..."
A while ago I visited Westerham on bus 246 and found out that it was extended to Chartwell on Sunday.    I am considering going to Chartwell next month for an event but it seems that the bus 246 no longer operates there in the winter while the bus 236 does not have a Sunday service.    Is there any alternative transport other than hailing a taxi there? ,Michael Tsang,London,"London, United..."
I have vertigo and vertical pull as a result of a spinal injury it is triggered by being at the edge of things. Acclimatising cannot help it as it is down to a physical injury and surgery is just not worth the risk.  I did the WHW this year I love being outdoors and wobbled on (very bravely I must say) through the tricky bits. That was fun for my lovely OH who gamely took the outsides and my complaining .  I was looking to do Cowhill but would like to give myself a nice walk with great views and I wondered if the track was away from the edge?  i can't tell from the reviews and photos any help appreciated. ,dippyem,Fort William,sunny glasgow
Looks like it's not running to Heathrow on 24th..    Or am I mistaken? ,Mrs Giroud,London,"London, United..."
Looking for a moderately priced centrally located hotel .  Debating between Hilton Westminster London and Park Plaza Westminster. What do you think? ,Michelle B NY1127,London,
Hi all      We are coming on Saturday for our Christmas break away and wanted to go for a curry on the Saturday evening any recommendations we are staying in Portloe and know we will have to travel but didn't want to travel to far.    Any comments would be great. ,tottenhamSurrey,Cornwall,"Surrey, United..."
Does anyone have any knowledge good or bad about the ticket reseller: www.livefootballtickets.com? we are looking for Saturday March 30 Chelsea FC at home. It seems like a legitimate site but everything I have read on previous posts says that it is impossible. Thank you very much! ,alexandria22,London,"Alexandria, Virginia"
Hello! My family is traveling to London from March 29-April 5. March 29 is good Friday but we are not arriving until late in the evening so I am hoping the holiday will not impact us in any great way. I am hoping for some feedback on accommodations we have found on Airbnb. Our family is 2 adults and 3 children ages 14 11 and 9. Based on this I am thinking an Airbnb is going to be our best option to comfortably host us for the week. We are looking for a home base so we don't have high needs. Most important to us is clean safe walking neighborhood easy access to the tube (in zone 1 or 2 if possible) and a neighborhood that has eateries and groceries. Trying to avoid to far outside of central London. Our budget per night is between 200-275 GBP. Many many years ago I lived in London in the Muswell Hill neighborhood. I can't remember how long it took me to travel to central London even though I went to King's Cross daily from bounds green! I this neighborhood a good one for my family and what we are hoping for? It would be fun to be back there after 20+ years. Below of the listings we are looking at on Airbnb. Any feedback would be deeply appreciated as well as any suggestions/recommendations.    https://www.airbnb.com/rooms/767274784237253222?check_in=2024-03-29&check_out=2024-04-05&guests=1&adults=3&children=2&s=67&unique_share_id=8aea102b-984d-4998-bc11-fbae28afd536    https://www.airbnb.com/rooms/13554539?check_in=2024-03-29&check_out=2024-04-05&guests=1&adults=3&children=2&s=67&unique_share_id=4e8c9b7d-1127-4299-96c6-2a4f3056fb33    https://www.airbnb.com/rooms/25994759?check_in=2024-03-29&check_out=2024-04-05&guests=1&adults=3&children=2&s=67&unique_share_id=b773e44b-aa2d-4394-b005-d64fa90c2bc8    https://www.airbnb.com/rooms/834029656884495411?check_in=2024-03-29&check_out=2024-04-05&guests=1&adults=3&children=2&s=67&unique_share_id=96c6ecc4-963b-4a1e-8bcc-bcf91cbc59cd ,Ally B,London,
Coming to Skipton next month would like the best pub to watch the football .Thanks ,William T,Skipton,
After having a lovely visit to Mevagissey 2 wks ago I received a parking fine from Premier Parking Solutions. Turns out if you use the left hand parking machine which doesn’t allow you to enter your reg number and make the correct payment then you do not have a valid parking ticket and will be fined.  It’s just a con and so I’d recommend everyone avoid this car park. A quick google shows I’m not the first person to fall victim to this fraudulent practice so please be warned. ,Adrian G,Mevagissey,
We will be in London staying at the Tower Hotel near the Tower Bride December 26-January 2nd. I would like to get my husband and son tickets to watch a Premier League football (aka soccer) game while we are there. I notice there are multiple games happening December 30. Does anyone have any insight on which one we should choose? Is there a better/more fun team to watch? Nicer stadium? Any input would be great! ,luv2dohair01,London,Pismo Beach...
Can anyone recommend a reasonable hotel close to the Civic Hall. Me and a friend are seeing a band there and need to book rooms hopefully within walking distance in a safe area ... alternatively don't mind being a bit further away if taxis and uber are easy to get outside the venue.  Thanks ,Luciabaz99,Wolverhampton,"Wales, United..."
Hi I am visiting London Jan 4-6 and wanted to get a ticket up to Sky Garden but their website really has not been user friendly I checked a by bc h of times when new tickets were going to be released but no luck. Now they’re onto the next week after I’ll be gone so I guess I missed out. My question is does anyone have experience just trying to be a walk in day of? The website says based on availability (obviously) so wondering if it’s easier than I would think. Alternatively does making a free reservation at the Sky Pod or City Garden bars or any of the restaurants get you access to the rest of the space? ,Toni-ann C,London,New Jersey
Hello! Any experience with this vacation rental company? They have some very nice properties and look to be a good alternative to AirBNB.  Thank you! ,Gippy26,London,"Kirkland, WA"
Bit of a shock this:  https://www.bbc.co.uk/news/uk-scotland-glasgow-west-67764960 ,Chris C,Glasgow,
Part 2 of a long weekend in July which my husband and I spent touring various castles and gardens.    This day’s explore includes Hever and Scotney Castles and Sissinghurst (the latter the main reason for the trip in the first place!)    I got a lot of help on the Forum when planning this short explore  so thanks again to all who offered ideas.Here’s the link to the write up with photos if of interest…    https://annestravelsandhikes.com/2023/12/16/east-sussex-and-kent-hever-castle-scotney-and-the-glories-of-sissinghurst/ ,Scotlandmac,Kent,"Glasgow, United..."
What bus can you get from George best airport to the cathedral Quarter any help would be appreciated regards joe ,Joe,Belfast,"Liverpool, United..."
Can you use your oversea debit card instead of oyster card ? ,Patrick D,London,"Perth, Australia"
We are planning a trip for March 23-30. We depart on the 30th so March 29th will be our last full day. I read in responses to a different question that we would maybe see holiday train schedules for Good Friday.    Can you tell me what we should anticipate in terms of adjusted hours and schedule for that day at attractions The Tube or trains that might take us out of the city?    What about crowds? Would this be a good day to visit somewhere we intend to reserve tickets for? Or to leave the city? Or just proceed as usual? ,Natalie T,London,Minneapolis...
We are staying one night (tonight) at the above hotel and need parking for 24 hours.  I have 'searched nearby' for car parks and they all have one star reviews; homeless people drug use stink of pee even broken car windows and thefts; I would take a chance for a couple of hour's shopping but am reluctant to park overnight.  Anyone living in or around Croydon who can recommend safe (ish) parking near Travelodge Central Croydon; (Elmer's End are you reading this) thanks in advance. ,Johnandkathyp,London,"Exmouth, United..."
How do we get from our arrival flight in Heathrow terminal 3 on AA to our connecting flight BA in terminal 5? Does our luggage get transferred? Do we have to clear customs or just go through security? We have 2.5 hours between flights. Thanks ,wlbox,London,"North, South..."
https://1950s-vintage-bus-hire.co.uk/Christmas-430/ ,nttds1,London,"Bristol, United..."
We are planning to travel from Premier Inn County Hall to St Pancras Station on 16th July (Tue) to catch the 11:04 Eurostar to Brussels. If we take a cab from PI County Hall at 9 am will we be able to arrive at St Pancras by 10 am to check in for the 11:04 train barring unforeseen incidents?    We are not familiar with London morning traffic; and therefore need advice on that.    We are in our early 70s and would prefer to take a cab instead of the tube as we would have two luggage plus hand luggage.    Alternatively we could leave PI County Hall late afternoon the day before and overnight at Premier Inn St Pancras or PI Kings Cross. In that case we would book the 9:01 train since there would be no risk of rush-hour traffic.    Which would be a better option?    Thank you for your advice.    (If this is a double-post I apologise) ,ourcruise777,London,"Perth, Australia"
Hi all hoping for some help with the everlasting question of ‘which hotel should I choose?’  I am happy enough with the room rate and location of all of these but what I’m not sure about is what the ambiance/vibe/sense of place is for the locality of each.    For context it is a second visit to London for Mr Daffstarring and I although our first was about 15 years ago. First visit for our kids (11 & 12). We are hoping to have six nights at the end of June 2024. We plan to arrive via Eurostar from Paris and will be exploring more of England after London.    The shortlist I have is:  - Park Plaza County Hall (is there a reason it’s so much cheaper than Westminster Bridge?)  - Park Plaza Victoria  - The Goodenough Hotel  (I also looked at the Mercure Hyde Park and Bloomsbury but didn’t like them as much.)    Would greatly appreciate any input. ,daffstarring,London,Queensland...
We arrive at Heathrow on May 30th at 12:45 in the afternoon and are staying at hotel connected to Terminals 2 and 3. We leave next day at 12:45. Does anyone have any suggestions of something to do with that time? Not looking to see a ton of things but maybe a few walk around have a bite to eat and return to the airport in the evening. Thanks so much for your help. ,Cindy H,London,Canada
Hey i heard that if you are legal residant (not citizen)in ireland you can travel to uk without visa you need only passport and id .i think its mentioned in uk official website as well. Does anyone know authenticity of this? ,Nikhil M,,
Which shall we chose? ,Kmy,Edinburgh,
We may find ourselves in London in late January into February and have always wanted to visit Cornwall (fans of Doc Martin and Poldark). Will it be worthwhile at that time of year or are many accommodations and restaurants closed then? Many thanks! ,Traveling Smiths,Cornwall,Virginia
I will be in Croydon London for 3weeks is it easier to get an oyster card for my travels ? If sowhich is the best way to use the card. Would appreciate any help & guidance. ,Patrick D,London,"Perth, Australia"
What is the best way to travel from Edinburg to St. Andrew’s? How many days should we stay in st. Andrew’s if our first time? What is a good place to hotel in St. Andrews? Thank you! ,grace K,Edinburgh,
Hello -    We are flying from Charlotte NC to Manchester getting in at 10:00 p.m. on Friday October 20th. We will be attending the Liverpool vs. Everton game currently scheduled for Saturday October 21st (could possibly get moved but won't know until 6 weeks out). The following weekend we will be attending the Manchester City vs. Manchester United game in Manchester currently scheduled for Saturday October 28th (could also get rescheduled). We will fly home to Charlotte from Manchester on Monday October 30th.    We really want to spend time in London and Paris but don't know if this would be too much traveling for the dates we will be there (October 20th - October 30th) due to the soccer games. This will be our first time visiting Europe and it is for our 10 year wedding anniversary. Thoughts on itinerary? Am I crazy to try to fit this all in? Only thing that is for sure is the soccer games and the flights. The rest is TBD.    Also we will have a 9 hour layover in London on our way to Manchester. Should we just stay at the airport during that time or is there anything we can go and see?    Thanks in advance! ,CLT_Traveler,London,"Charlotte, North..."
My daughter is wanting to book flights today and I know the days of the weeks make a big difference for only 8 days of sightseeing. She and her husband are taking their 3 kids (ages 7 9and 12) on the family’s first trip to England in mid July (only time they can go)    My daughter has always wanted to see the Cotswolds and they thought the kids would really enjoy seeing their first castle since this is the kid’s first trip abroad so we planned Windsor at the end to be close to the airport— and use that time for the required “pool” time that all kids want on vacation!    Thoughts? The best priced slights are on Monday and Tuesday departure but I was worried the Cotswolds might be even more crowded on the weekend. I mean July will be crowded as heck anyway… thanks ahead for any help!    (London 3 nights/Cotswold 2 nights/windsor2 nights)    Day 1: Monday: Depart Austin in evening for London!  Day 2: Tuesday: Arrival in Am! Take taxi to hotel and check-in.  Walk across Westminster bridge and Stroll around Big Ben Parliament and tour Westminster Abby (book ahead). If time Go down Whitehall and see 10 Downing Street and finish at Trafalgar Square otherwise just Have dinner at traditional British pub. Sleep London 3 nights    Day 3: Wednesday: Buckingham Palace Changing of the Guards (arrive 10am) or instead do Churchill War Rooms Tour at 9am first thing and just go by the outside of the palace and have lunch. Make a metro stop at Piccadilly Circus/ Square before seeing the British Museum in afternoon.    Day 4: Thursday Tower of London and London Bridge!  Book early morning tickets to arrive at Tower of London at opening to avoid crowds. Late Lunch at their cafeteria around 1pm.. Afterwards around 2:00pm cruise the River Thames— City cruise boat from Tower pier back to Westminster pier. Maybe ride the London Eye at sunset.    Day 5: Friday to the Cotswolds by train (somewhere?) and then rent car. sleep Cotswolds 2 nights. Suggestions where to stay?  Day 6: Saturday Cotswold- Sleep Cotswold  Day 7: Sunday see more of Cotswold…in late afternoon drive to Windsor or return car somewhere and take train to arrive before dark or in time to return car swim! and Sleep Windsor 2 nights    Day 9: Monday See Windsor Castle 9am or opening. (Closed Tuesday Wednesdays) see St George castle first… 1pm Stroll town of Windsor after lunch. Rest and swim!. Sleep Windsor.    Day 10: Take taxi 30 min to airport before early morning departure home.    Thanks again! ,Janet K,London,"Houston, Texas"
Hello all. Spent a week in London last October and barely scratched the surface. I (+1) had an ambitious itinerary but the experts here basically said “That’s not happening mate” and they were right. So here’s what I was able to accomplish in a rather inefficient seven days:  Treasures of the British Library  British Museum (Ancient Egypt & Greece two separate visits)  Natural History Museum  Science Museum  V&A (quickie)  Palace Green Kensington Gardens Hyde Park  IWM London (WWI only)  The National Gallery (quickie)  Cambridge and Wren Library  Sky Garden sunset (by way of Darwin Brasserie resy)  Sir John Soane’s Museum  Bank of England Museum  Camden Market  Borough Market  Westminster Cathedral  Graffiti Tunnel  Changing of the Guard  Tower of London (Missed the Ceremony of the Keys. 10 quid down the tube station Sunday night closure. Lesson learned yeah.)    Best of all everything but the Tower was free. Isn’t that amazing? On top of viewing the usual landmarks quiet tube rides (even during rush hour) and safe at all hours strolls London is simply fantastic. When a week opened up in my calendar for March it was an easy decision to come back. Eight days this time. It’s like scrolling through Netflix. What do I want to binge watch today? Real crime? War? Music? The Windsors? It’s all right here. Please London regale me with your debauched history. Ply me with wine and meat pies.    Last visit I stayed at three places (credit card perks since you’re wondering): The Bloomsbury (good) Hilton Park Lane (cool Hyde Park view) and the Conrad (major disappointment; only thing it had going for it was the tube station… and umbrellas). This time I’ve decided on the Canopy London City.    Food hits: Spaghetti House Kensington High Street The Feathers (three visits glad it was next to the Conrad) Sunday Roast Hawksmoor Air Street Dominos (to the rescue).    Food misses: Darwin Brasserie (mediocre steak server pressing me for a tip even though a service charge was already added) Circolo Popolare Where the Pancakes Are Flat Iron Square Afternoon Tea at the Savoy (no dress code I should have went to Starbucks) Sino Thai Restaurant Smokeworks Cambridge.    This time around I’m solo for five days then it’s plus two for the remaining three. Since the plus two would rather binge watch Love Island I’ve got five days of peaceful museum visits. My shortlist itinerary:  Westminster Abbey  St. Paul’s Cathedral  Oxford - Ashmolean Museum  IWM London (WWII at least)  Churchill War Rooms  British Museum    And that’s about it. Anything else is gravy. Thanks for reading. Any suggestions would be greatly appreciated. ,ElNinoDorado,London,"New York City, New..."
TA experts-considering a trip to the dales after other TA experts letting me know my trip covering the entire island was a bit aggressive. My SO and I would love to find a small village with an inn or an airbnb walking distance to a pub for meals. We will be coming from London so want this part of our trip to be relaxing. We would drive to locations in the park for walking and sightseeing.    I was a big fan of the James Herriott books so I'm looking for that small stone village with a picturesque river running through it and a quiet pub where old men are playing dominoes and drinking pints.    Appreciate anyone's suggestions on locations! ,Illiniwek66,Yorkshire Dales National Park,Bloomington-Normal...
My thanks in advance! ,Richard F,London,Palm Desert...
Greetings  Trying to get from Glasgow airport to St Andrews this coming May. Will be arriving on a Wednesday around noon. When looking it seems either Car rental or bus is the most economical. Having problems finding car services as well.  I have a couple questions...    1. What are the roads like between the airport and St Andrews if we decide to drive? Interstate? two lane? Easy to navigate?  Is it possible to drive there and drop car off there rather than return to Glasgow?    2. Is there a car service you would recommend as we would prefer to not drive ourselves as only in St Andrews for 48 hours before continuing on to Edinburgh so don't want to hassle returning cars etc.    Thanks in advance for all your help! ,Islandsluver2go,St. Andrews,"Fayetteville, North..."
We have a 10a admission to Windsor castle on 12/27 (parents & teen girls) then an evening show at the West End. Are there any stops between the two we should make in the afternoon? No car pubic transport ride-share or walking only. We will have plenty of time downtown on other days so just looking for stops along the way. ,MPB,England,"Queen Creek, Arizona"
I’d love to hear any recommendations on London area pantos for the holiday season—December 2023.  - first trip to UK no car  -parents plus teen girls  -already seeing Peter Pan goes wrong so not the PP Panto  -prefer family friendly more clean less crude  -I’ve done some research but pantos are new territory for me and we’re excited to check it out. We love plays and musicals so I’m surprised I haven’t heard of these before. Are there just a handful of major productions usually or are there many many more that just don’t get as much marketing?    Carol sing-alongs are another UK tradition that we’re not used to as much in the US where we’re coming from. Anything else along those lines that are unique holiday experiences for us Americans? I realize that’s a pretty broad question but just throwing it out there. ,MPB,England,"Queen Creek, Arizona"
I really would like to spot some coos. We will be at Ruthven Barracks and hope to see them there. If not are there other places that they usually can be seen? Not sure we will be passing by the farm in Ft Wlliam area (?) where I read you can feed them. . ,Bronna L,Scotland,"New York City, New..."
Hi as a first-time visitor to the UK I'm wondering if it is more economical to pre book tours through the likes of viator etc. or wait and book through local operators in London. ,Gary B,,"Perth, Australia"
