text,username,city_request,city_provenance
Hi folks I am coming into the city in March and looking for a place to eat. My wife loves Italian food and ideally I would like it to be on the Upper West Side so that we can walk from the hotel. I've seen Carmine's but didn't know if there were any hidden gems. Thanks ,billborn7,New York City,Boston...
Hi  We’re planning a trip to NY next July with the kids.    I’m a bit out of touch with the topping etiquette as it’s been nearly 15 years since I was last there.    But the more I’m reading up on it the more stressful I see this trip becoming (particularly as I never carry physical cash on me). Am I seriously expected to have notes ready to hand out to someone who simply opens a door for me. ,Sam,,Newcastle upon...
Hi    I have 4 full days to spend in NYC over Christmas. Here is the list of activities that we’d like to do. Which ones are the best to group together to maximise our time? We’re staying at a hotel in Times Square    Statue of Liberty Staten ferry trip  Brooklyn Bridge  Grand Central Station  Times Square  Vandibilt to see NYC skyline  Booked The Rockettes show on Christmas Day  Rockefeller Centre  Rolf's diner for drinks  Stardust diner  Christmas Markets  Saks Light Show  Midtown oversized Christmas decorations  Macy’s  Empire State Building  Plaza Hotel for cocktails  NYC Public library ,Hannah D,New York City,
I will be visiting NYC for 1 day before continuing on to Cancun after boxing day. I intend to have a walk in Manhattan area after my last visit which is nearly 20 years ago. I fly from London. I have a few questions if anyone could help with?    1) Is there any local sim deal I can get for short stay? I kinda need it when I figure out public transport and when I am in Manhattan... My current UK sim provider does not really have good roaming deal for USA...    2) When I use public transport (JFK airport - lower Manhattan - central park) how should I pay? Can I just tap my credit/debit card?    3) I assume I will be getting away without having any cash for 1 day? If not what's the best place to get small amount of cash?    4) What's the best way to get to lilberty island from Manhattan?    Any input appreciated! ,JxxDeadByDaylight,New York City,"London, United..."
love to do a food tour but one of us eats no beef or pork..can someone recommend a tour that might have alternatives to beef or pork or a tour that doesnt feature much meat? ,alacraft,New York City,los angeles...
I’ll be in New York for NYE. For my midnight celebrations I’ll be at the Phish show but after that I was thinking about taking a stroll through Times Square. Will it still be blocked off around 1am or is it open to the public by then? ,evans47,New York City,"Detroit, Michigan"
Hello    My Wife and I are planning to make a last-minute trip to NYC for Christmas this year. We'd be arriving around lunchtime on Saturday Dec. 23 and departing at about the same time on Tuesday Dec. 26. Therefore we'll be staying for three nights - and yes I recognize that most everything will be closed on Monday for Christmas Day (our second of only two full days in NYC).    Our primary reasoning for undertaking this trip is just wanting to have a little escape from our typical Christmas. We've been to NYC a few times before over the years but never in the winter. The way everything has worked out this year it seems like a perfect chance for us to experience a bit of Christmas in NYC.    We'll be driving into the city and are okay to pay the cost of parking somewhere close to our hotel. We won't touch our car until we depart and are fine to walk long distances and/or use the subway.    I'm sort of thinking we'd like to stay in the NoMad area as most of our plans radiate from that central zone. So far I'm seeing rates in the high $200's to low $300's for - MADE Hotel Ace Hotel Moxy NYC Chelsea Motto Hilton Chelsea Bryant Park Hotel Refinery Hotel. And I'm suffering analysis paralysis between all of them haha!    Re plans ... we have a dinner reservation at Gallaghers Steakhouse on Sat. Dec. 23 and will be trying to secure Macy's Santaland reservations too (resos seem to open up five days in advance). Other than that I see our plans radiating out from the NoMad area.    To the North - Xmas trees at Rockefeller Center Radio City Music Hall Lotte Palace. Perhaps the Bryant Park Christmas Market. Quick walk-through Times Square (my Wife will need to go to the Disney Store). Gallaghers reso.    To the West – Walking the High Line perhaps checking out the Chelsea Market and Starbucks Reserve Roastery.    To the South – Macy’s holiday decor seeing the Flatiron Building.    Obviously we’ll prioritize checking out things that will be closed on Christmas Day on the 23rd and 24th. On Christmas Day I think we’ll just wander around outside perhaps stroll around Central Park check out some fancy hotel lobbies and maybe have dinner in Chinatown.    Any advice re hotels and/or our plans in general would be very much appreciated!    Thanks    Ryan ,RYAN1987M,New York City,"Woodstock, Canada"
Im visiting NY for the first time.Im planning to go there in January 20th and stay for about 5 days.Im from sunny California so nervous about the cold weather and how should I prepare.Any tips on what kind of apparel is fitting for women? Im thinking to get warmers puffy jacket and a trecnch coat.Is it enough? ,sarah p,New York City,
Hi! We’re driving back to New England after a show on Sunday and I’d like to find a good sit-down deli on the way back - any food suggestions north of the city/into southern CT? Our route is flexible - thanks in advance. ,SMa1983,New York City,Massachusetts
Hey fellow travelers!    Traveling is a passion that opens up a world of possibilities but let's face it every adventure comes with its share of highs and lows. In this post let's dive into the pros and cons of travel sharing insights on making the most of every journey.    Pros of Travel:    - Exploration and Cultural Immersion: Traveling lets you step out of your comfort zone immersing yourself in diverse cultures and creating a canvas of new experiences.    - Personal Growth and Self-Discovery: Overcoming travel challenges contributes to significant personal growth turning every hurdle into a stepping stone toward self-discovery.    - Building Lasting Memories: The memories made during travel from shared laughter to breathtaking landscapes become the building blocks of unforgettable experiences.    - Networking Opportunities: Traveling opens doors to personal and professional connections leading to unexpected opportunities and collaborations.    Cons of Travel:    - Financial Considerations: Budget concerns are common but strategic planning and financial responsibility can ease this burden.    - Impact on Work and Routine: Balancing travel with work commitments can be tricky requiring a careful harmony between exploration and professional responsibilities.    - Health and Safety Concerns: Navigating new environments brings health risks so understanding and mitigating these concerns are crucial.    - Environmental Impact: The environmental footprint of travel is a growing concern but adopting sustainable practices can help minimize this impact.    Balancing Act:    Finding the right balance involves understanding individual preferences setting realistic expectations and adopting a mindset that embraces both the highs and lows of exploration.    Tips for Mitigating Cons:    - Create and stick to a budget.  - Plan trips strategically to minimize disruption to work routines.  - Prioritize health and safety with destination-specific research.  - Offset environmental impact by supporting eco-friendly initiatives.    Budget-Friendly Travel Tips:    * Explore affordable destinations.  * Opt for budget-friendly accommodation.  * Use travel rewards and loyalty programs to cut costs.  * Travel during off-peak seasons for lower prices.  * Use public transportation and explore local street food for cost-effective dining.    Responsible Travel Practices:    - Choose eco-friendly accommodations.  - Minimize single-use plastics during travel.  - Support local businesses to contribute positively to communities.    Embracing Unplanned Adventures:    While planning is crucial leaving room for spontaneity can lead to unexpected joys. Some of the most memorable experiences happen off the beaten path.    Overcoming Travel Challenges:    - Develop coping strategies for travel-related stress.  - Remain adaptable in the face of unexpected situations.  - Learn from travel mishaps for personal growth.    Cultural Interactions:    - Embrace diversity in cultures.  - Navigate cultural differences respectfully with local awareness.  - Enhance the travel experience through cultural interactions.    Lifelong Learning Through Travel:    - Acquire new skills while traveling.  - Explore the educational benefits of experiencing different cultures.  - Incorporate travel into personal development goals.    Sustainable Travel:    - Minimize the environmental impact of travel.  - Support eco-friendly accommodations and transportation.  - Be a responsible traveler by respecting local cultures and minimizing waste.    Role of Technology in Travel:    - Utilize technology for a smoother travel experience.  - Recommend travel apps and gadgets for convenience.  - Stay connected while on the go for safety and convenience.    Solo vs. Group Travel:    - Explore the advantages and disadvantages of both.  - Highlight the benefits of group dynamics for shared experiences.    Capturing Moments Through Photography:    - Preserve memories through travel photography.  - Offer tips for capturing the essence of a destination.  - Create a travel photo journal for cherished memories.    Conclusion:    In conclusion every journey is a tapestry of joys and challenges. Whether solo or in a group on a budget or in luxury each adventure contributes to personal growth and a deeper understanding of the world. So embark on your next adventure with confidence and let Travelarii.com be your compass guiding you through the diverse landscapes of exploration.    Remember the pros and cons of travel are part of the rich tapestry of exploration. Approach each trip with an open mind curiosity and a commitment to responsible travel and make the most of every moment on the road! Safe travels! ,Elsie Young,,"New York City, New..."
Hi  Can you advise me on best way to get from Lake Placid to Manhattan. Will be traveling in early January. I’ve read that the drive is beautiful but will it be a treacherous drive with snow? Would a one way rental be very expensive? Would a train ride work better? Or would flying be the best?  Thanks in advance for your help! ,Wanderer201161,Lake Placid,"Atlanta, Georgia"
Can anyone comment on this experience? First time in NYC at Christmas and I see that you can reserve a time for family photos with the tree or Santa but there's not much other detail. Will the tree photo be a relatively unobstructed pic? How about navigating the crowds to get to the proper location? TIA for any help! ,GrandTour783039,New York City,
Hello to all you beautiful people! As a token of overwhelming support and the wealth of knowledge that I received here wanted to share my travel report. Background: a family of 2 adults and 2 kids (9 and 5 y/o) went to NYC for the first time to celebrate special occasion the week of Thanksgiving.    Hotel: stayed in Indigo on Water Street. Outstanding location for us away from hustle and bustle but in very decent area loved walking Wall St back and force close to metro stations clean and very safe. Hotel: pros: great location new built all things new rooms small but manageable. Cons: 2 double beds were horrible to manage for 2 adults the noise level from plumbing was quite high the service was pretty inattentive forgot on things overall pleasant but lacked customer service in comparison with other brands that we stayed at. The price point was significantly lower in comparison with others so I guess I do not regret this selection.    Dates: 11/19 – to 11/24. We felt it was just the right amount of time for the first time. Felt quite tired last days and were ready to head back home. Weather forecast was showing rain and gloomy and it was like that one day but nevertheless it didn’t impact our itinerary much. We didn’t even end up going to any museum to wait out the rain just dove into restaurants for dinner and then walked a bit with shopping here and there. That was the last week that was more or less good weather. The week prior to it it was very balmy/fall-ish weather our week was more like a transition and the week that followed up was already winter to me so be very careful with your timing at least for us the last week of November is critical when things change on a dime.    Day 1: SUN arrival into Newark Airport went to taxi stand and ordered taxi. We drove 16 miles for an hour!!! Brutal. Paid close to 140 or so which is not a lot considering the amount of time spent in a car but considering that it’s only 16 miles crazy! Probably would have been better off taking airport express but again given that we are on Wall Street not too sure. Checked into hotel dropped off luggage and headed to Times Square. It was great to immerse into it right it! Loved it! Exactly how I thought it’s going to be. Did dinner at Bubba Gump on 2nd floor right in the middle of Times Sq it was great! Then went to M&M World Hershey Chocolate World and Krispy Kreme to watch donuts being glazed and having our dessert time finished off on red stairs then headed back to the hotel walking past Oculus and the nice Xmas decorated park etc.    Day 2: Metro to Macy’s area had bagels at some bagel place nearby saw Empire State inside/out on the way to Summit Vanderbilt. Had 11 AM time slot. It was INCREDIBLE!!!! Those balloons the rooms the 360 view the terrace all was incredible we were very happy that we selected it out of all observation decks. Very tech advanced experience. I love when things are NEW!!! We finished around 2 there kids were crazy over it! Highly recommend. Then headed to Grand Central Terminal. It was grand but not much to it…. I was expecting more things to do. Went upstairs/downstairs whispering gallery and all but it was maybe 15-20 min. Grabbed Shake Shack takeout and left. I was worried that it will be rainy next days so we hurriedly headed to Central Park. I thought it would be best to walk 30 min since we will walk major drag anyways and will see things but I wouldn’t recommend doing it. It’s better just to grab metro and be there sooner. It was getting colder and darker but we still enjoyed Central Park. I was pleasantly surprised to see some foliage. Kids climbed Umpire Rock and were very happy. I had no idea until I googled. There were ton of horse driven carriages and I didn’t expect that. I thought if you don’t arrange one no one showed up…. But the smell was unbearable since there were so many of them so we decided to walk through given that it was getting dark. I think I would enjoy horse driven carriage ride if we had more time. The idea was to do carriage first for general overview and then walk inside the park for another hour or so…. Anyways we just walked and made it to that famous bridge that appeared to be closed…. Nice area around fountain nice walk all around grabbed little hot dogs for kids from street vendors. Had reservation at Baekjeong Korean BBQ so once it got dark was rushing to grab subway to get to the Korean Town. It was great experience doing your own BBQ with the set up that they had but my stomach didn’t handle it well afterwards and we didn’t feel full no matter how much we eat. Afterwards tried to hit some of the places off Xmas walk list Macy’s again and their windows inside too for a little shopping Bryant Park and then we heard the music coming through and accidentally hit Rockefeller Center not realizing that it was the one. Lol. Was mesmerized by the Dior Show and 5th Ave Saks window displays! It was fabulous! Called it a night.    Day 3: expecting rain in the afternoon gloomy in the morning quickly headed to Brooklyn Bridge. Took subway to the other side and followed silly google maps for the “DUMBO” was walking in circles like crazy and couldn’t find my way. Finally located the famous spot in DUMBO where everyone takes pic of the Manhattan Bridge did that ventured into Market to have some breakfast didn’t like it at all. I don’t like places like that. I like something with the view….. Had lobster rolls at Luke’s prior to hitting the bridge! Brooklyn Bridge was AMAZING!!! I didn’t expect the boardwalk to be in the middle and raised I thought that it’s leveled with cars. It was nice not to deal with traffic noise. The best souvenirs prices were on the bridge. I can imagine how nice it would be during sunset hours. Towards the end it started raining and windy we finished and carried on to 9/11 memorial survivor tree etc. The weather was appropriate for this experience all wet and somber… Even managed to stand in line to take a photo with charging bull fierce girl etc. I don’t remember what we had for dinner that day…. Afterwards I was stern on going to Rockefeller Centre thinking that I haven’t been…. Again came to watch Dior Show went to Lego store shopping then FAO Schwarz and still searching for Rockefeller Center…. Lol. My silly google map was showing me that it’s further the moment I go further it says to go back… and I wasn’t able to understand that it was it! I thought that it would have some sort of official entrance similar to Macy’s. First I thought that Saks is Rockefeller. Lol. I had a good laugh later…. Went inside St. Patrick’s. It was nice. Then went back to our hotel and hit the rooftop for some views. The next day supposed to be the worst weather day and I had that SOL reservation so I was bracing for that….    Day 4: Walk along Wall Street Liberty Bagels for rainbow and liberty donuts and off to the SOL. We had 11.00 AM slot which was perfect for our family. There is no way that we would have made it earlier. We were awoken at 8 AM but it takes a while for us to get out walk around find food etc. Security and lines were very well organized. We had lots of sun despite forecasted rain until later in the day. The whole experience was AMAZING! We did the pedestal access with advance a week out reservation. We did the museum walked around kids absolutely loved it! Like I was saying for our family it was a highlight! We learned a lot we were interested in how it was built its structure museum is simply a must. And those audio guides were the HIGHLIGHTs for the kids. It kept them entertained for hours they felt important to listen to it so they did we talked through if they understood everything etc. Around 3 PM the weather started being cold and windy and we took the boat back. Stopped at the other island but couldn’t handle another museum so jumped on the same boat again changing our mid on a dime. We headed back and I called randomly without any hope to Oscar Wilde Restaurant! And OMG they actually picked up phone and I managed to book spot for dinner within 30 min arrival. I was eyeing this restaurant for the month and couldn’t get a spot. The restaurant was fully decked out for Xmas season it was overload of all decorations etc. I was so happy that we made it it was amazing! The service was very mediocre though and the food as well we should have just taken appies and drinks and go somewhere else to eat but we were so tired and the weather wasn’t the best so we sat there for 2 hours to enjoy and not being able to move. Afterwards we went to another LEGO store that was close by and I spotted that we were close by Flatiron Building and Madison SQ so we walked a bit in the dark to see it. It was all right. You were correct specifically walking to it would be total waste of time. I had that Rosevelt Tram on my list and really didn’t want to go but we thought we will regret it so we went wasted time on communing there did the tram it was all right it would have been nice in summer to come on the little island and walk around but it was dark and we were so tired that we literally did it for the sake of checking off the box. Returned back to the other side and it took us an hour or so to get to Wall Street. I regret that we did it! nothing special about it at all….    Day 5: Special occasion day. It took us forever to get to Macy’s parade. We made it close to 11 saw some things from the distance right beside Radio Hall theater. It was all right like any parade. Kids were a bit bored to stand and watch so we left. It was windy and cold we couldn’t find place to eat without any lines so just went to Juniors to pick up NYC cheesecake. I quickly bought tickets to Rockettes last minute for 2 PM show. We did the experience it was great! Following it quickly rushed to make it to the restaurant on the other side of the river. Being Thanksgiving I wasn’t sure if boats will bring us on time so we took bus through the tunnel to make it to the Charthouse. I wanted only window seating so we waited about 20 min for it. The location and the restaurant were AMAZING!!!! I was very worried if it would be good but it turned out the BEST! We came right on sunset the view of Manhattan was INCREDIBLE the water reflection the food everything about it was very very good! I highly recommend and it was so silly of me to have doubts and to take so much time and research the hell out of it when I had Charthouse all this time in front of my eyes! I am sure any other restaurants that I was considering with the view higher up would be less superior than this full view of Manhattan on your palms. Our table was positioned right in the middle of it all and we enjoyed it thoroughly. Afterwards took bus again through the tunnel because didn’t want to bother to explore anything else we knew the route and we knew where to stand to hop on it. Finished the evening with yet again the visit to Times Square and the Dior Show (it was our 3rd time) and headed to the hotel.    Day 6: woke up and headed to the airport. Although we did have time because our departure was not until 4 PM but we were simply tired and didn’t want to bother with luggage storage etc….    Overall I was amazed by all people and atmosphere. All were good looking nicely dressed very courteous and trying to help! I will never forget we were taking turns to take photos of us in front of some building and the guy doing his shift on the service vehicle stopped in the middle of the road got off the vehicle and offered to take a picture of our family together! Like who does it in the big city?! Subways were one of the best ones that I ever seen clean practically no graffiti didn’t see anything that was not safe people were all probably tourist or commuting to work. This was one of the best city experience that we travelled to. I don’t get when people say oh I am from New York you know what that means as if it’s negative connotation. I didn’t feel that people rushed or made you rush some service was even slower at a time…. All was top notch and we loved everything about it!    Thank you to all of you here who helped along the way. I won’t re-read for proofreading because must run so don’t judge for it! I was determined to get it out this year haha if I wait for proofreading potentially it’s not going to make it this December. ,InfinitSilver,New York City,Canada
I will be arriving at JFK Terminal 4 (Kenya Air) at 6:30 AM. Can I make a 9:30 AM AA flight out of Terminal 8? I will have to clear customs get my luggage transfer terminals recheck my luggage and go through security. I do have Global Entry/TSA precheck. ,frankb357,New York City,Roseville...
